"Odseljeni prebivalci, stari 15 ali veè let, po statusu aktivnosti, državi prihodnjega prebivališèa, spolu in državljanstvu, Slovenija, letno"

"SPOL";"DRŽAVA PRIHODNJEGA PREBIVALIŠÈA";"2011 Državljani RS Aktivni - Skupaj";"2011 Državljani RS Zaposleni";"2011 Državljani RS Brezposelni";"2011 Državljani RS Neaktivni - Skupaj";"2011 Tuji državljani Aktivni - Skupaj";"2011 Tuji državljani Zaposleni";"2011 Tuji državljani Brezposelni";"2011 Tuji državljani Neaktivni - Skupaj";"2012 Državljani RS Aktivni - Skupaj";"2012 Državljani RS Zaposleni";"2012 Državljani RS Brezposelni";"2012 Državljani RS Neaktivni - Skupaj";"2012 Tuji državljani Aktivni - Skupaj";"2012 Tuji državljani Zaposleni";"2012 Tuji državljani Brezposelni";"2012 Tuji državljani Neaktivni - Skupaj";"2013 Državljani RS Aktivni - Skupaj";"2013 Državljani RS Zaposleni";"2013 Državljani RS Brezposelni";"2013 Državljani RS Neaktivni - Skupaj";"2013 Tuji državljani Aktivni - Skupaj";"2013 Tuji državljani Zaposleni";"2013 Tuji državljani Brezposelni";"2013 Tuji državljani Neaktivni - Skupaj";"2014 Državljani RS Aktivni - Skupaj";"2014 Državljani RS Zaposleni";"2014 Državljani RS Brezposelni";"2014 Državljani RS Neaktivni - Skupaj";"2014 Tuji državljani Aktivni - Skupaj";"2014 Tuji državljani Zaposleni";"2014 Tuji državljani Brezposelni";"2014 Tuji državljani Neaktivni - Skupaj";"2015 Državljani RS Aktivni - Skupaj";"2015 Državljani RS Zaposleni";"2015 Državljani RS Brezposelni";"2015 Državljani RS Neaktivni - Skupaj";"2015 Tuji državljani Aktivni - Skupaj";"2015 Tuji državljani Zaposleni";"2015 Tuji državljani Brezposelni";"2015 Tuji državljani Neaktivni - Skupaj";"2016 Državljani RS Aktivni - Skupaj";"2016 Državljani RS Zaposleni";"2016 Državljani RS Brezposelni";"2016 Državljani RS Neaktivni - Skupaj";"2016 Tuji državljani Aktivni - Skupaj";"2016 Tuji državljani Zaposleni";"2016 Tuji državljani Brezposelni";"2016 Tuji državljani Neaktivni - Skupaj";"2017 Državljani RS Aktivni - Skupaj";"2017 Državljani RS Zaposleni";"2017 Državljani RS Brezposelni";"2017 Državljani RS Neaktivni - Skupaj";"2017 Tuji državljani Aktivni - Skupaj";"2017 Tuji državljani Zaposleni";"2017 Tuji državljani Brezposelni";"2017 Tuji državljani Neaktivni - Skupaj"
"Moški";"EVROPA - SKUPAJ";1061;892;169;826;4437;4196;241;833;1721;1466;255;1552;3340;3056;284;800;1505;1244;261;1562;2589;2286;303;917;1535;1241;294;1706;2673;2396;277;1146;1686;1370;316;1845;2682;2384;298;1189;1563;1270;293;2094;2956;2627;329;1191;1710;1390;320;2328;3680;3389;291;1240
"Moški";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";286;227;59;291;3729;3521;208;655;370;294;76;405;2669;2423;246;517;366;282;84;374;1938;1692;246;575;95;75;20;158;1393;1223;170;544;107;74;33;184;1276;1092;184;577;82;56;26;171;1548;1369;179;612;112;84;28;208;2010;1854;156;522
"Moški";"....Bosna in Hercegovina";57;44;13;74;1880;1769;111;346;85;66;19;102;1284;1151;133;227;84;64;20;72;777;645;132;213;28;21;7;75;625;535;90;298;33;22;11;79;579;485;94;313;27;17;10;68;808;706;102;340;38;27;11;101;1049;968;81;249
"Moški";"....Èrna gora";5;3;2;7;12;10;2;7;10;8;2;15;15;14;1;4;7;6;1;9;7;5;2;11;2;2;0;8;7;3;4;7;2;1;1;6;5;5;0;16;3;3;0;6;10;10;0;16;1;1;0;6;10;10;0;13
"Moški";"....Kosovo";12;9;3;8;584;571;13;47;19;18;1;22;390;366;24;46;14;14;0;30;248;219;29;33;10;9;1;10;175;164;11;36;13;12;1;22;151;128;23;35;10;8;2;9;208;184;24;78;18;16;2;8;208;189;19;59
"Moški";"....Makedonija";24;23;1;14;451;434;17;70;15;14;1;30;359;345;14;59;21;18;3;23;237;211;26;86;18;13;5;12;179;158;21;82;10;5;5;17;175;152;23;84;9;5;4;15;145;124;21;81;12;9;3;25;176;147;29;90
"Moški";"....Srbija";62;48;14;61;520;493;27;84;92;74;18;95;354;330;24;56;73;56;17;91;335;311;24;59;37;30;7;53;407;363;44;121;49;34;15;60;366;322;44;129;33;23;10;73;377;345;32;97;43;31;12;68;567;540;27;111
"Moški";"- Države EU - SKUPAJ";693;596;97;482;631;602;29;171;1186;1032;154;1034;593;555;38;265;1012;858;154;1039;573;518;55;325;1273;1031;242;1380;1203;1097;106;573;1344;1113;231;1425;1307;1196;111;582;1299;1072;227;1627;1293;1145;148;547;1421;1170;251;1843;1514;1384;130;674
"Moški";"....Avstrija";192;162;30;87;29;29;0;13;319;280;39;227;39;32;7;27;403;342;61;301;42;38;4;31;577;469;108;459;60;49;11;30;579;478;101;513;58;48;10;18;547;455;92;575;61;58;3;28;552;452;100;615;51;45;6;38
"Moški";"....Bolgarija";0;0;0;2;201;191;10;28;2;2;0;2;267;262;5;57;4;4;0;3;250;224;26;24;3;2;1;2;260;238;22;34;0;0;0;3;321;301;20;48;2;1;1;1;317;284;33;30;3;3;0;2;332;307;25;22
