"Meddržavne selitve po državi državljanstva in spolu, Slovenija, letno"

"SELITVE";"DRŽAVA DRŽAVLJANSTVA";"2000 Moški";"2000 Ženske";"2001 Moški";"2001 Ženske";"2002 Moški";"2002 Ženske";"2003 Moški";"2003 Ženske";"2004 Moški";"2004 Ženske";"2005 Moški";"2005 Ženske";"2006 Moški";"2006 Ženske";"2007 Moški";"2007 Ženske";"2008 Moški";"2008 Ženske";"2009 Moški";"2009 Ženske";"2010 Moški";"2010 Ženske";"2011 Moški";"2011 Ženske";"2012 Moški";"2012 Ženske";"2013 Moški";"2013 Ženske";"2014 Moški";"2014 Ženske";"2015 Moški";"2015 Ženske";"2016 Moški";"2016 Ženske";"2017 Moški";"2017 Ženske";"2018 Moški";"2018 Ženske"
"Priseljeni iz tujine";"Država državljanstva - SKUPAJ";4397;1788;5321;2482;6216;2918;6229;3050;7485;2686;11130;3911;15750;4266;23659;5534;23815;6878;22973;7323;9841;5575;8317;5766;9102;5920;8465;5406;8242;5604;9215;6205;10417;6206;12264;6544;20086;8369
"Priseljeni iz tujine";"EVROPA";4303;1705;5141;2318;6054;2763;6015;2848;7311;2539;10927;3719;15541;4079;23338;5241;23447;6475;22506;6890;9498;5233;8030;5529;8802;5683;8167;5155;7960;5374;8872;5907;10023;5913;11820;6193;19596;7932
"Priseljeni iz tujine";"  Albanija";2;2;14;6;16;7;19;7;9;3;15;3;18;3;13;3;14;3;25;9;6;4;2;5;4;15;5;6;3;7;5;13;1;10;4;7;6;13
"Priseljeni iz tujine";"  Avstrija";17;8;27;21;18;9;18;15;16;13;82;63;62;32;65;37;86;50;68;39;59;30;70;23;66;27;34;19;45;20;34;18;47;27;35;30;58;31
"Priseljeni iz tujine";"  Belgija";1;1;5;6;5;6;12;5;4;0;17;11;6;2;9;6;9;6;10;5;14;9;10;5;8;7;8;4;13;1;5;2;9;5;21;7;13;4
"Priseljeni iz tujine";"  Bolgarija";8;4;6;6;13;10;24;13;40;8;24;16;60;19;716;74;403;81;412;127;455;151;530;197;539;203;521;164;679;130;522;140;592;151;652;148;557;151
"Priseljeni iz tujine";"  Bosna in Hercegovina";1726;290;2008;352;2014;517;1614;491;2480;486;3718;589;7010;861;11225;1254;11459;1579;10846;2064;3112;1291;2152;1235;2616;1429;2390;1456;2034;1342;2958;1736;3250;1561;4415;1770;9134;2582
"Priseljeni iz tujine";"  Èeška republika";8;12;7;21;11;7;12;13;1;8;16;46;13;38;20;25;13;31;13;20;11;32;12;19;13;12;7;13;15;29;14;16;6;21;8;9;11;10
"Priseljeni iz tujine";"  Èrna gora";...;...;...;...;...;...;...;...;...;...;...;...;...;...;43;40;69;65;71;42;43;44;35;45;35;41;28;48;44;32;46;21;26;26;34;31;59;25
"Priseljeni iz tujine";"  Danska";0;0;0;0;8;1;8;2;6;2;11;6;5;1;5;7;4;0;6;5;3;2;2;2;5;1;2;1;2;2;2;1;4;3;6;8;2;0
"Priseljeni iz tujine";"  Francija";12;16;15;9;22;19;37;21;17;15;79;61;98;31;53;27;45;33;44;24;50;22;36;30;44;19;62;30;29;15;28;22;45;29;46;14;51;25
"Priseljeni iz tujine";"  Hrvaška";625;281;744;358;911;396;949;333;478;320;612;380;708;438;932;468;1055;542;996;446;567;361;585;360;784;328;878;319;684;380;539;307;722;373;715;384;801;430
"Priseljeni iz tujine";"  Italija";19;16;60;30;64;21;39;32;17;12;137;53;104;46;184;80;198;100;176;95;208;124;201;118;295;142;300;129;320;161;384;144;395;164;380;168;328;142
"Priseljeni iz tujine";"  Kosovo";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1784;385;2917;659;1350;538;701;529;726;633;483;569;626;673;699;832;684;799;714;666;1679;752
"Priseljeni iz tujine";"  Madžarska";5;2;15;8;14;13;6;20;3;5;45;23;32;25;33;22;57;29;24;23;63;18;23;25;40;39;50;40;92;33;78;47;149;34;134;51;127;50
"Priseljeni iz tujine";"Severna Makedonija";725;151;720;329;894;323;1100;459;990;261;1293;385;1624;473;2468;695;2349;847;2205;782;680;465;544;472;532;548;382;440;343;402;324;385;397;465;498;509;874;582
"Priseljeni iz tujine";"  Nemèija";25;23;42;36;23;18;31;25;23;20;151;106;94;61;137;84;141;109;104;79;93;67;105;66;127;70;75;48;74;58;57;37;76;44;56;29;76;46
"Priseljeni iz tujine";"  Nizozemska";3;2;13;9;16;5;19;5;4;1;33;18;19;12;21;10;14;12;25;9;21;4;22;12;23;5;18;6;13;6;12;3;12;6;16;9;27;11
"Priseljeni iz tujine";"  Poljska";2;4;33;11;8;5;8;9;3;8;98;53;73;33;77;42;28;28;39;38;11;23;13;28;36;42;42;16;37;19;16;18;12;31;21;27;10;23
"Priseljeni iz tujine";"  Romunija";6;19;33;20;31;18;25;18;75;49;189;114;202;121;152;47;88;53;28;41;39;44;57;28;44;36;157;36;85;38;45;22;103;33;46;26;51;34
"Priseljeni iz tujine";"  Ruska federacija";16;42;52;79;53;82;21;91;19;43;34;54;15;48;45;67;53;79;58;107;43;67;56;82;112;129;171;170;240;252;303;336;277;247;228;252;281;272
"Priseljeni iz tujine";"  Slovenija";509;426;547;483;793;639;694;574;936;638;1037;710;1025;740;920;769;1515;1116;1657;1246;1553;1158;1781;1537;1540;1201;1306;944;1413;1122;1612;1143;1653;1210;1956;1332;2474;1880
"Priseljeni iz tujine";"  Srbija";405;255;579;301;849;372;1075;424;1948;423;2750;574;3812;635;5462;906;3579;783;2368;539;720;369;832;342;928;412;987;427;877;389;886;365;1222;375;1556;400;2609;568
"Priseljeni iz tujine";"  Švedska";4;1;7;2;12;6;10;4;1;0;14;5;16;14;24;12;10;4;12;5;18;13;15;4;6;6;9;5;7;7;9;3;10;4;5;4;3;3
"Priseljeni iz tujine";"  Švica";7;3;12;10;3;8;13;5;4;5;3;6;5;12;13;11;11;12;7;6;5;4;7;5;8;6;5;3;11;2;5;4;9;5;9;3;6;2
"Priseljeni iz tujine";"  Ukrajina";84;108;78;153;66;203;98;149;166;175;129;243;141;216;197;274;152;288;113;241;68;193;47;156;82;141;73;109;104;119;134;169;158;147;113;159;151;158
"Priseljeni iz tujine";"  Združeno kraljestvo";13;7;24;12;12;8;22;17;10;1;79;35;46;33;92;54;83;51;72;45;71;46;46;31;68;34;42;20;48;22;47;25;51;38;58;42;86;41
"Priseljeni iz tujine";"  Druge države Evrope";81;32;100;56;198;70;161;116;61;43;361;165;353;185;432;227;228;189;210;194;235;154;146;173;121;157;132;133;122;113;108;98;113;105;94;108;122;97
"Priseljeni iz tujine";"AFRIKA";7;1;12;0;13;5;18;6;19;9;21;10;20;12;20;15;46;17;39;16;59;15;53;10;57;11;50;17;63;23;62;20;53;17;76;21;92;32
"Priseljeni iz tujine";"AZIJA";40;44;90;84;81;77;99;97;99;91;105;112;103;94;199;160;166;191;307;257;167;163;138;138;163;143;165;141;143;135;197;175;246;190;284;233;298;288
"Priseljeni iz tujine";"JUŽNA AMERIKA";4;11;9;13;14;18;22;24;11;7;10;10;6;18;13;19;16;22;20;25;15;23;25;23;15;21;12;25;12;17;13;31;22;25;24;28;24;36
"Priseljeni iz tujine";"SEVERNA IN SREDNJA AMERIKA";27;21;54;58;37;44;46;46;39;37;53;52;64;54;66;85;70;125;71;120;65;113;64;62;54;57;61;63;58;54;65;70;65;56;50;63;66;78
"Priseljeni iz tujine";"  Kanada";2;3;6;1;2;2;4;4;2;3;4;4;7;7;8;8;12;10;8;6;3;8;8;6;8;2;2;2;4;3;4;7;12;4;9;5;4;13
"Priseljeni iz tujine";"  Združene države";24;15;44;47;30;31;32;23;29;20;40;28;46;32;51;35;45;38;41;21;42;37;35;17;28;28;45;31;39;35;48;44;40;36;30;33;46;39
"Priseljeni iz tujine";"  Druge države Severne in Srednje Amerike";1;3;4;10;5;11;10;19;8;14;9;20;11;15;7;42;13;77;22;93;20;68;21;39;18;27;14;30;15;16;13;19;13;16;11;25;16;26
"Priseljeni iz tujine";"AVSTRALIJA IN OCEANIJA";7;5;13;7;2;4;12;7;6;3;12;6;11;6;12;6;14;6;16;7;11;6;7;4;11;5;10;5;6;1;6;2;8;5;10;6;10;3
"Priseljeni iz tujine";"Neznana država";9;1;2;2;15;7;17;22;0;0;2;2;5;3;11;8;56;42;14;8;26;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Odseljeni v tujino";"Država državljanstva - SKUPAJ";2376;1194;3503;1308;4596;2673;3444;2423;6061;2208;6659;1946;10725;3024;10696;4247;8190;3919;14816;3972;11586;4351;8151;3873;8699;5679;7902;5482;8609;5727;8976;5937;9328;6244;10694;6861;8521;5006
"Odseljeni v tujino";"EVROPA";2278;1137;3369;1241;4488;2562;3315;2319;5909;2136;6557;1880;10585;2922;10470;4017;8091;3824;14643;3792;11261;3942;7950;3719;8516;5537;7756;5320;8425;5577;8796;5793;9135;6089;10470;6691;8312;4877
"Odseljeni v tujino";"  Albanija";16;6;9;3;21;8;17;11;18;1;15;1;13;2;8;4;2;1;9;1;8;3;9;4;5;3;1;6;3;4;3;0;3;5;3;7;6;1
"Odseljeni v tujino";"  Avstrija";11;12;4;0;4;5;13;6;51;30;21;11;52;32;63;39;41;22;51;20;54;33;40;16;46;17;47;21;40;17;39;18;32;19;37;23;22;17
"Odseljeni v tujino";"  Belgija";1;0;4;3;0;8;10;3;7;2;5;4;8;6;5;2;5;2;9;4;8;4;8;4;3;5;13;7;5;2;14;3;6;2;5;5;5;1
"Odseljeni v tujino";"  Bolgarija";69;4;18;3;2;5;5;7;60;6;32;2;19;11;122;6;107;23;328;54;246;65;267;70;381;101;331;93;358;106;445;79;417;108;430;89;389;82
"Odseljeni v tujino";"  Bosna in Hercegovina";289;49;523;182;987;336;419;211;1337;245;2191;160;3617;241;3656;602;2756;260;6150;508;3924;515;2267;359;1593;309;1068;319;1107;404;1137;416;1453;453;1704;448;1648;438
"Odseljeni v tujino";"  Èeška republika";6;20;9;11;6;6;10;15;12;15;3;11;9;19;12;35;7;17;9;12;9;14;15;17;12;17;11;10;9;10;10;23;15;13;7;14;6;5
"Odseljeni v tujino";"  Èrna gora";...;...;...;...;...;...;...;...;...;...;...;...;...;...;8;7;14;8;38;23;30;27;24;13;19;16;18;20;12;17;21;10;28;18;24;15;25;18
"Odseljeni v tujino";"  Danska";0;0;4;1;0;0;8;3;9;3;2;1;5;3;11;4;0;0;5;3;3;1;4;2;0;1;3;1;1;0;8;2;3;2;2;0;1;3
"Odseljeni v tujino";"  Francija";27;9;15;7;9;8;15;11;54;35;18;18;65;30;87;35;36;25;26;19;44;31;33;19;28;12;38;22;42;21;36;19;32;22;32;19;19;11
"Odseljeni v tujino";"  Hrvaška";259;51;439;150;567;212;621;310;340;167;580;138;652;268;684;469;367;188;529;222;565;263;414;168;416;211;547;196;696;248;530;229;519;219;586;232;670;203
"Odseljeni v tujino";"  Italija";30;11;36;25;12;3;1;1;25;18;20;2;63;24;111;49;101;36;123;50;110;61;116;64;115;62;138;63;186;77;176;82;235;90;264;97;205;66
"Odseljeni v tujino";"  Kosovo";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;78;6;1381;182;1639;181;781;170;514;168;250;149;231;178;283;233;467;342;582;386;500;309
"Odseljeni v tujino";"  Madžarska";1;3;9;1;14;12;10;10;10;13;3;5;56;12;5;21;22;16;35;17;24;13;64;17;21;12;28;27;38;24;56;17;68;26;84;24;105;21
"Odseljeni v tujino";"Severna Makedonija";225;34;784;0;988;281;791;411;886;52;547;33;1109;110;1260;291;630;176;1477;243;1079;280;512;164;391;172;306;173;245;215;236;173;234;172;257;200;228;157
